KEY,ENG,VI
string,string,string
ui_collection_title,Dreamy Collection,Bộ sưu tập Mộng mơ 
ui_collection_reward,Grand Prize,Giải thưởng lớn 
ui_collection_dreamscape,Dreamscape,Giấc mơ
ui_collection_cloud_nine,Cloud Nine,Bay Bổng
ui_colection_poetic_muse,Poetic Muse,Nàng Thơ 
ui_collection_show_time,Show Time!,Sự Kiện
ui_collection_cozy_corner,Cozy Corner,Tổ Ấm
ui_collection_ease_side,East Side,Phương Đông
ui_collection_chill_glow,Chill Glow,Thư Giãn
ui_collection_sunny_days,Sunny Days,Khám Phá
ui_collection_wishful_heart,Wishful Heart,Ước Mơ
ui_collection_tasty_dream,Tasty Dream,Ẩm thực 
ui_collection_fantasy,Fantasy,Mộng Ảo
ui_collection_evermore,Evermore,Dinh Thự
ui_collection_sea_breeze,Sea Breeze,Đại Dương
ui_collection_wonderscape,Wonderscape,Diệu Kì
ui_collection_dream,Dream,Mua Sắm
ui_collection_future,Future,Tương Lai
ui_collection_green_vibes,Green Vibes,Thiên Nhiên
ui_collection_grand,Grand,Bí Mật
ui_collection_fairytale_echo,Fairytale Echo,Cổ Tích
ui_collection_childhood,Childhood,Tuổi Thơ
ui_collection_fabulous,Fabulous,Điện Ảnh
ui_collection_souldmate,Soulmate,Tri Kỉ
ui_collection_true,True!,Quý Ông
ui_collection_starry_skies,Starry Skies,Ngân Hà
ui_collection_game_on,Game On!,Chinh Phục
ui_collection_detail_dreamscape_desc,"A soft, dreamy space where sweet dreams float by, peaceful and light as a cloud.","Nơi những vì sao thì thầm câu chuyện cổ tích, đưa bạn vào giấc ngủ êm đềm, ngọt ngào như một khúc ca."
ui_collection_detail_cloud_nine_desc,"Your quiet spot where brilliant sparkle and grow, making every project a delightfull adventure","Không gian yên tĩnh, nơi những ý tưởng lấp lánh được ươm mầm và bay xa, biến mọi điều thành hiện thực."
ui_collection_detail_poetic_muse_desc,"A tender, private space where every girl finds her peace and embraces unique beauty, cherished and loved.","Góc riêng tư dịu dàng, nơi mỗi cô gái tìm thấy sự bình yên và vẻ đẹp của chính mình, được nâng niu và trân trọng."
ui_collection_detail_show_time_desc,"A sparkling room filled with laughter and joy, ready for the happiest parties and unforgettable memories.","Không gian rực rỡ, tràn ngập niềm vui và tiếng cười của những bũa tiệc đáng nhớ, nơi bạn là tâm điểm."
ui_collection_detail_cozy_corner_desc,"Small and sweet, where all worries fade away, leaving only peaceful moments and warm, happy feelings.","Ấm cúng và nhỏ xinh, nơi mọi lo âu tan biến, chỉ còn lại sự bình yên và những khoảnh khắc ngọt ngào."
ui_collection_detail_east_side_desc,"A tranquit haven insprired by the East, bringing calm and gentle beauty to your peaceful soul.","Vẻ đẹp thanh bình, huyền bí từ phương Đông, mang đến sự tĩnh lặng và an yên cho tâm hồn."
ui_collection_detail_chilll_glow_desc,"Sink into pure bliss, letting all your worries melt away in this perfectly peaceful escape.","Thả mình vào sự bình yên, tận hưởng những khoảng khắc thư giãn tuyệt vời nhất, quên đi mọi lo toan."
ui_collection_detail_sunny_days_desc,"Embrace the sunshine and gentle breezes, like a never-ending picnic in your gream out door space.",
ui_collection_detail_wishful_heart_desc,"Nurture your ambitions here, where every detail inspires you to reach for your brightest professional dreams.",
ui_collection_detail_tasty_dream_desc,"Like a cozy little feast inside a dream - where every dish holds a story, every scent brings back a memory, and the table always feels like it's waiting just for you.",
ui_collection_detail_fantasy_desc,"A magical world without limits, where every impossible dream comes true, surprising you with endless delight.",
ui_collection_detail_evermore_desc,"Experience pure luxury and spacious beauty, where every detail whispers of timeless grace and sophistication.",
ui_collection_detail_sea_breeze_desc,"Feel the gentle sea breeze, listen to he calming waves and find pure tranquility by the ocean's edge.",
ui_collection_detail_wonderscape_desc,"Where magic happens with every touch, turning tiny treasures into beautiful, inspiring creations.",
